service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name
122-1,1,1,1,1,1,0,0,20180819,20190112,Weekday
122-4,0,0,0,0,0,1,0,20180819,20190112,Saturday
122-5,0,0,0,0,0,0,1,20180819,20190112,Sunday
122-2901,0,0,0,0,0,0,0,20180819,20190112,E-Bus Thursday/Friday
122-4701,0,0,0,0,0,0,0,20180819,20190112,UT Regular Weekday
122-4801,0,0,0,0,0,0,0,20180819,20190112,UT Registration
122-4901,0,0,0,0,0,0,0,20180819,20190112,UT Finals
122-4904,0,0,0,0,0,0,0,20180819,20190112,UT Finals
122-5001,0,0,0,0,0,0,0,20180819,20190112,UT Summer Weekday
122-13401,0,0,0,0,0,0,0,20180819,20190112,Rail Friday Night
122-14001,0,0,0,0,0,0,0,20180819,20190112,Thursday Only
122-14101,0,0,0,0,0,0,0,20180819,20190112,Wednesday Only
122-14304,0,0,0,0,0,0,0,20180819,20190112,Saturday SE 10 TO 2:30am 
122-15504,0,0,0,0,0,0,0,20180819,20190112,Saturday Rail
122-16301,0,0,0,0,0,0,0,20180819,20190112,Weekday Special Event - 2:30am
122-20704,0,0,0,0,0,0,0,20180819,20190112,E-Bus Saturday
122-20804,0,0,0,0,0,0,0,20180819,20190112,Saturday Rail 10:00am to Midnight
122-20805,0,0,0,0,0,0,0,20180819,20190112,Saturday Rail 10:00am to Midnight
122-21005,0,0,0,0,0,0,0,20180819,20190112,UT Sunday Service
122-21404,0,0,0,0,0,0,0,20180819,20190112,Saturday Rail STANDARD 230
122-23501,0,0,0,0,0,0,0,20180819,20190112,Regular Weekday
122-23804,0,0,0,0,0,0,0,20180819,20190112,Regular Saturday
122-24105,0,0,0,0,0,0,0,20180819,20190112,Regular Sunday
122-25601,0,0,0,0,0,0,0,20180819,20190112,AUSTIN CITY LIMITS
122-25604,0,0,0,0,0,0,0,20180819,20190112,AUSTIN CITY LIMITS
122-25605,0,0,0,0,0,0,0,20180819,20190112,AUSTIN CITY LIMITS
122-25804,0,0,0,0,0,0,0,20180819,20190112,TRAIL OF LIGHTS
122-25805,0,0,0,0,0,0,0,20180819,20190112,TRAIL OF LIGHTS
122-26104,0,0,0,0,0,0,0,20180819,20190112,491 WORK
122-26201,0,0,0,0,0,0,0,20180819,20190112,492 WORK
122-26204,0,0,0,0,0,0,0,20180819,20190112,492 WORK
122-32401,0,0,0,0,0,0,0,20180819,20190112,RAPID THURSDAY
122-32501,0,0,0,0,0,0,0,20180819,20190112,RAPID MONDAY TO WEDNESDAY
122-39101,0,0,0,0,0,0,0,20180819,20190112,6TRAINMON to THURS
122-39201,0,0,0,0,0,0,0,20180819,20190112,6TRAIN FRIDAY
122-40801,0,0,0,0,0,0,0,20180819,20190112,493 WORK
