service_id,date,exception_type
122-21005,20180819,1
122-24105,20180819,1
122-5001,20180820,1
122-23501,20180820,1
122-32501,20180820,1
122-39101,20180820,1
122-40801,20180820,1
122-23501,20180821,1
122-32501,20180821,1
122-39101,20180821,1
122-14101,20180822,1
122-23501,20180822,1
122-32501,20180822,1
122-39101,20180822,1
122-14001,20180823,1
122-23501,20180823,1
122-32401,20180823,1
122-39101,20180823,1
122-4801,20180824,1
122-23501,20180824,1
122-26201,20180824,1
122-32401,20180824,1
122-39201,20180824,1
122-21404,20180825,1
122-23804,20180825,1
122-26104,20180825,1
122-24105,20180826,1
122-4801,20180827,1
122-23501,20180827,1
122-32501,20180827,1
122-39101,20180827,1
122-40801,20180827,1
122-4801,20180828,1
122-23501,20180828,1
122-32501,20180828,1
122-39101,20180828,1
122-4701,20180829,1
122-14101,20180829,1
122-23501,20180829,1
122-32501,20180829,1
122-39101,20180829,1
122-2901,20180830,1
122-4701,20180830,1
122-14001,20180830,1
122-23501,20180830,1
122-32401,20180830,1
122-39101,20180830,1
122-2901,20180831,1
122-4701,20180831,1
122-23501,20180831,1
122-26201,20180831,1
122-32401,20180831,1
122-39201,20180831,1
122-20704,20180901,1
122-21404,20180901,1
122-23804,20180901,1
122-26104,20180901,1
122-24105,20180902,1
122-1,20180903,2
122-5,20180903,1
122-24105,20180903,1
122-4701,20180904,1
122-23501,20180904,1
122-32501,20180904,1
122-39101,20180904,1
122-4701,20180905,1
122-14101,20180905,1
122-23501,20180905,1
122-32501,20180905,1
122-39101,20180905,1
122-2901,20180906,1
122-4701,20180906,1
122-14001,20180906,1
122-23501,20180906,1
122-32401,20180906,1
122-39101,20180906,1
122-2901,20180907,1
122-4701,20180907,1
122-13401,20180907,1
122-23501,20180907,1
122-26201,20180907,1
122-32401,20180907,1
122-15504,20180908,1
122-20704,20180908,1
122-23804,20180908,1
122-26104,20180908,1
122-21005,20180909,1
122-24105,20180909,1
122-4701,20180910,1
122-23501,20180910,1
122-32501,20180910,1
122-39101,20180910,1
122-40801,20180910,1
122-4701,20180911,1
122-23501,20180911,1
122-32501,20180911,1
122-39101,20180911,1
122-4701,20180912,1
122-14101,20180912,1
122-23501,20180912,1
122-32501,20180912,1
122-39101,20180912,1
122-2901,20180913,1
122-4701,20180913,1
122-14001,20180913,1
122-23501,20180913,1
122-32401,20180913,1
122-39101,20180913,1
122-2901,20180914,1
122-4701,20180914,1
122-13401,20180914,1
122-23501,20180914,1
122-26201,20180914,1
122-32401,20180914,1
122-15504,20180915,1
122-20704,20180915,1
122-23804,20180915,1
122-26104,20180915,1
122-21005,20180916,1
122-24105,20180916,1
122-4701,20180917,1
122-23501,20180917,1
122-32501,20180917,1
122-39101,20180917,1
122-40801,20180917,1
122-4701,20180918,1
122-23501,20180918,1
122-32501,20180918,1
122-39101,20180918,1
122-4701,20180919,1
122-14101,20180919,1
122-23501,20180919,1
122-32501,20180919,1
122-39101,20180919,1
122-2901,20180920,1
122-4701,20180920,1
122-14001,20180920,1
122-23501,20180920,1
122-32401,20180920,1
122-39101,20180920,1
122-2901,20180921,1
122-4701,20180921,1
122-13401,20180921,1
122-23501,20180921,1
122-26201,20180921,1
122-32401,20180921,1
122-20704,20180922,1
122-20804,20180922,1
122-23804,20180922,1
122-26104,20180922,1
122-21005,20180923,1
122-24105,20180923,1
122-4701,20180924,1
122-23501,20180924,1
122-32501,20180924,1
122-39101,20180924,1
122-40801,20180924,1
122-4701,20180925,1
122-23501,20180925,1
122-32501,20180925,1
122-39101,20180925,1
122-4701,20180926,1
122-14101,20180926,1
122-23501,20180926,1
122-32501,20180926,1
122-39101,20180926,1
122-2901,20180927,1
122-4701,20180927,1
122-14001,20180927,1
122-23501,20180927,1
122-32401,20180927,1
122-39101,20180927,1
122-2901,20180928,1
122-4701,20180928,1
122-13401,20180928,1
122-23501,20180928,1
122-26201,20180928,1
122-32401,20180928,1
122-15504,20180929,1
122-20704,20180929,1
122-23804,20180929,1
122-26104,20180929,1
122-21005,20180930,1
122-24105,20180930,1
122-4701,20181001,1
122-23501,20181001,1
122-32501,20181001,1
122-39101,20181001,1
122-40801,20181001,1
122-4701,20181002,1
122-23501,20181002,1
122-32501,20181002,1
122-39101,20181002,1
122-4701,20181003,1
122-14101,20181003,1
122-23501,20181003,1
122-32501,20181003,1
122-39101,20181003,1
122-2901,20181004,1
122-4701,20181004,1
122-14001,20181004,1
122-23501,20181004,1
122-32401,20181004,1
122-39101,20181004,1
122-2901,20181005,1
122-4701,20181005,1
122-16301,20181005,1
122-25601,20181005,1
122-26201,20181005,1
122-32401,20181005,1
122-14304,20181006,1
122-20704,20181006,1
122-25604,20181006,1
122-26104,20181006,1
122-20805,20181007,1
122-21005,20181007,1
122-25605,20181007,1
122-4701,20181008,1
122-23501,20181008,1
122-32501,20181008,1
122-39101,20181008,1
122-40801,20181008,1
122-4701,20181009,1
122-23501,20181009,1
122-32501,20181009,1
122-39101,20181009,1
122-4701,20181010,1
122-14101,20181010,1
122-23501,20181010,1
122-32501,20181010,1
122-39101,20181010,1
122-2901,20181011,1
122-4701,20181011,1
122-14001,20181011,1
122-23501,20181011,1
122-32401,20181011,1
122-39101,20181011,1
122-2901,20181012,1
122-4701,20181012,1
122-16301,20181012,1
122-25601,20181012,1
122-26201,20181012,1
122-32401,20181012,1
122-14304,20181013,1
122-20704,20181013,1
122-25604,20181013,1
122-26104,20181013,1
122-20805,20181014,1
122-21005,20181014,1
122-25605,20181014,1
122-4701,20181015,1
122-23501,20181015,1
122-32501,20181015,1
122-39101,20181015,1
122-40801,20181015,1
122-4701,20181016,1
122-23501,20181016,1
122-32501,20181016,1
122-39101,20181016,1
122-4701,20181017,1
122-14101,20181017,1
122-23501,20181017,1
122-32501,20181017,1
122-39101,20181017,1
122-2901,20181018,1
122-4701,20181018,1
122-14001,20181018,1
122-23501,20181018,1
122-32401,20181018,1
122-39101,20181018,1
122-2901,20181019,1
122-4701,20181019,1
122-13401,20181019,1
122-23501,20181019,1
122-26201,20181019,1
122-32401,20181019,1
122-20704,20181020,1
122-20804,20181020,1
122-23804,20181020,1
122-26104,20181020,1
122-20805,20181021,1
122-21005,20181021,1
122-24105,20181021,1
122-4701,20181022,1
122-23501,20181022,1
122-32501,20181022,1
122-39101,20181022,1
122-40801,20181022,1
